Designator,Mid X,Mid Y,Rotation,Layer
BT1,73.152,-110.744,0.0,top
C1,57.404,-102.108,270.0,top
C10,112.378877,-112.4458,0.0,top
C11,124.968,-97.77,270.0,top
C12,136.525,-110.186,270.0,top
C14,120.752112,-108.458,0.0,top
C2,72.136,-101.286,90.0,top
C3,86.868,-101.286,90.0,top
C4,101.6,-101.286,90.0,top
C5,89.916,-109.962,270.0,top
C6,84.836,-109.962,270.0,top
C7,70.104,-110.002,270.0,top
C8,61.154,-116.84,180.0,top
C9,104.14,-112.268,0.0,top
D1,103.632,-118.872,0.0,top
J1,80.269,-116.84,90.0,top
J2,70.612,-116.84,90.0,top
Q1,94.996,-110.088,180.0,top
Q2,67.31,-93.366,0.0,top
Q3,82.042,-93.366,0.0,top
Q4,96.774,-93.366,0.0,top
Q5,111.506,-93.366,0.0,top
Q6,61.066,-111.252,270.0,top
Q7,94.996,-115.062,0.0,top
R1,59.944,-91.948,0.0,top
R10,79.756,-111.212,90.0,top
R11,82.296,-111.212,270.0,top
R12,116.332,-94.996,270.0,top
R13,116.332,-102.362,270.0,top
R14,57.404,-111.252,270.0,top
R15,67.564,-111.252,90.0,top
R16,102.362,-108.458,0.0,top
R17,104.4448,-116.1288,0.0,top
R18,113.538,-118.872,180.0,top
R19,99.822,-113.644,270.0,top
R2,77.216,-111.212,90.0,top
R20,129.667,-96.52,180.0,top
R21,137.033,-96.52,180.0,top
R22,137.033,-103.378,180.0,top
R23,123.317,-116.84,0.0,top
R24,139.573,-108.966,270.0,top
R25,129.667,-103.378,180.0,top
R26,130.81,-116.84,180.0,top
R27,65.024,-111.252,270.0,top
R28,129.667,-98.806,180.0,top
R29,129.667,-101.092,180.0,top
R3,59.944,-94.234,180.0,top
R30,137.033,-98.806,0.0,top
R31,137.033,-101.092,180.0,top
R4,74.676,-92.456,0.0,top
R5,74.676,-94.742,180.0,top
R6,89.408,-92.456,0.0,top
R7,89.408,-94.742,180.0,top
R8,104.14,-92.456,0.0,top
R9,104.14,-94.742,180.0,top
RV1,85.344,-115.575,0.0,top
RV2,137.917,-116.84,270.0,top
RV3,120.899,-100.574,270.0,top
SW2,89.408,-115.575,0.0,top
U1,64.78,-101.336,270.0,top
U2,79.512,-101.336,270.0,top
U3,94.244,-101.336,270.0,top
U4,108.976,-101.336,270.0,top
U5,129.159,-110.236,270.0,top
